Movie Title,Released Year,Duration,Restrticted Rating,Rating (Star out of 10),User Vote,Director (1),Director (2),Director (3),Starring (1),Starring (2),Starring (3),Synopsis
 The Shining,1980,2h 26m,R,8.4, 1.1M,Stanley Kubrick,,,Jack Nicholson,Shelley Duvall,Danny Lloyd,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
 The Great Dictator,1940,2h 5m,G,8.4, 238K,Charles Chaplin,,,Charles Chaplin,Paulette Goddard,Jack Oakie,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
 Aliens,1986,2h 17m,R,8.4, 767K,James Cameron,,,Sigourney Weaver,Michael Biehn,Carrie Henn,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
 Inglourious Basterds,2009,2h 33m,R,8.4, 1.6M,Quentin Tarantino,,,Brad Pitt,Diane Kruger,Eli Roth,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
 The Dark Knight Rises,2012,2h 44m,PG-13,8.4, 1.8M,Christopher Nolan,,,Christian Bale,Tom Hardy,Anne Hathaway,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3, 520K,Stanley Kubrick,,,Peter Sellers,George C. Scott,Sterling Hayden,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
 Coco,2017,1h 45m,PG,8.4, 596K,Lee Unkrich,Adrian Molina,,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
 Oldboy,2003,2h,R,8.3, 640K,Park Chan-wook,,,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
 American Beauty,1999,2h 2m,R,8.3, 1.2M,Sam Mendes,,,Kevin Spacey,Annette Bening,Thora Birch,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
 Amadeus,1984,2h 40m,PG,8.4, 430K,Milos Forman,,,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
 Toy Story,1995,1h 21m,G,8.3, 1.1M,John Lasseter,,,Tom Hanks,Tim Allen,Don Rickles,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
 Avengers: Endgame,2019,3h 1m,PG-13,8.4, 1.3M,Anthony Russo,Joe Russo,,Robert Downey Jr.,Chris Evans,Mark Ruffalo,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
 Das Boot,1981,2h 29m,,8.4, 265K,Wolfgang Petersen,,,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
 Braveheart,1995,2h 58m,R,8.3, 1.1M,Mel Gibson,,,Mel Gibson,Sophie Marceau,Patrick McGoohan,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
 Good Will Hunting,1997,2h 6m,R,8.3, 1.1M,Gus Van Sant,,,Robin Williams,Matt Damon,Ben Affleck,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
 Princess Mononoke,1997,2h 14m,PG-13,8.3, 436K,Hayao Miyazaki,,,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
 Joker,2019,2h 2m,R,8.4, 1.5M,Todd Phillips,,,Joaquin Phoenix,Robert De Niro,Zazie Beetz,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
 Your Name.,2016,1h 46m,,8.4, 324K,Makoto Shinkai,,,Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
 High and Low,1963,2h 23m,Not Rated,8.4, 54K,Akira Kurosawa,,,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
 Once Upon a Time in America,1984,3h 49m,R,8.3, 379K,Sergio Leone,,,Robert De Niro,James Woods,Elizabeth McGovern,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
 3 Idiots,2009,2h 50m,PG-13,8.4, 437K,Rajkumar Hirani,,,Aamir Khan,Madhavan,Mona Singh,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
 Singin' in the Rain,1952,1h 43m,G,8.3, 262K,Stanley Donen,Gene Kelly,,Gene Kelly,Donald O'Connor,Debbie Reynolds,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
 Capernaum,2018,2h 6m,R,8.4, 106K,Nadine Labaki,,,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
 Come and See,1985,2h 22m,Not Rated,8.4, 98K,Elem Klimov,,,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
 Requiem for a Dream,2000,1h 42m,NC-17,8.3, 902K,Darren Aronofsky,,,Ellen Burstyn,Jared Leto,Jennifer Connelly,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..
 Toy Story 3,2010,1h 43m,G,8.3, 896K,Lee Unkrich,,,Tom Hanks,Tim Allen,Joan Cusack,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
 Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3, 1.1M,Richard Marquand,,,Mark Hamill,Harrison Ford,Carrie Fisher,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
 Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3, 1.1M,Michel Gondry,,,Jim Carrey,Kate Winslet,Tom Wilkinson,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
 The Hunt,2012,1h 55m,R,8.3, 367K,Thomas Vinterberg,,,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
 2001: A Space Odyssey,1968,2h 29m,G,8.3, 723K,Stanley Kubrick,,,Keir Dullea,Gary Lockwood,William Sylvester,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000."
 Reservoir Dogs,1992,1h 39m,R,8.3, 1.1M,Quentin Tarantino,,,Harvey Keitel,Tim Roth,Michael Madsen,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
 Ikiru,1952,2h 23m,Not Rated,8.3, 88K,Akira Kurosawa,,,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
 Oppenheimer,2023,3h,R,8.3, 752K,Christopher Nolan,,,Cillian Murphy,Emily Blunt,Matt Damon,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
 Lawrence of Arabia,1962,3h 38m,PG,8.3, 316K,David Lean,,,Peter O'Toole,Alec Guinness,Anthony Quinn,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
 The Apartment,1960,2h 5m,Approved,8.3, 198K,Billy Wilder,,,Jack Lemmon,Shirley MacLaine,Fred MacMurray,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
 Incendies,2010,2h 11m,R,8.3, 203K,Denis Villeneuve,,,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
 North by Northwest,1959,2h 16m,Approved,8.3, 347K,Alfred Hitchcock,,,Cary Grant,Eva Marie Saint,James Mason,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
 Citizen Kane,1941,1h 59m,PG,8.3, 467K,Orson Welles,,,Orson Welles,Joseph Cotten,Dorothy Comingore,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
 M,1931,1h 39m,Passed,8.3, 169K,Fritz Lang,,,Peter Lorre,Ellen Widmann,Inge Landgut,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
 Scarface,1983,2h 50m,R,8.3, 921K,Brian De Palma,,,Al Pacino,Michelle Pfeiffer,Steven Bauer,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
 Double Indemnity,1944,1h 47m,Approved,8.3, 168K,Billy Wilder,,,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
 Vertigo,1958,2h 8m,PG,8.3, 429K,Alfred Hitchcock,,,James Stewart,Kim Novak,Barbara Bel Geddes,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
 Full Metal Jacket,1987,1h 56m,R,8.3, 794K,Stanley Kubrick,,,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
 Amélie,2001,2h 2m,R,8.3, 797K,Jean-Pierre Jeunet,,,Audrey Tautou,Mathieu Kassovitz,Rufus,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
